"general/village_id","general/land_unit_code","land_unit/lu_size","manage_resp/manage_rev","manage_resp/manage_forest","manage_resp/manage_irr","manage_resp/manage_coop","manage_resp/manage_comanage","manage_resp/manage_commbased","manage_resp/manage_panch","manage_resp/manage_indv","selfcons_uses_no","sale_uses_no","use_patterns/improve_act/area_tot","grazing_incidence/grazing_number/loc_sm_num","grazing_incidence/grazing_number/loc_la_num","cp_id"
112,13016,55,0,0,0,0,0,0,1,0,8,1,0,250,300,1
113,13017,60,0,0,0,0,0,0,1,0,7,1,0,250,450,1
116,13021,55,0,0,0,0,0,0,1,0,8,0,0,900,600,1
119,13024,50,0,0,0,0,0,0,1,0,6,1,0,450,350,1
120,13025,40,0,0,0,0,0,0,1,0,7,1,0,350,475,1
113,13018,45,0,0,0,0,0,0,1,0,7,1,0,250,450,1
104,13005,45,0,0,0,0,0,0,1,0,7,2,0,450,500,1
105,13006,55,0,0,0,0,0,0,1,0,7,2,0,1500,850,1
105,13007,45,0,0,0,0,0,0,1,0,6,2,0,1500,1100,1
106,13008,65,0,0,0,0,0,0,1,0,5,2,0,450,200,1
117,13022,40,0,0,0,0,0,0,1,0,6,1,0,350,200,1
108,13011,40,0,0,0,0,0,0,1,0,5,2,0,550,350,1
109,13012,65,0,0,0,0,0,0,1,0,8,2,0,500,450,1
111,13015,35,0,0,0,0,0,0,1,0,7,1,0,1500,550,1
118,13023,60,0,0,0,0,0,0,1,0,6,2,0,350,400,1
109,13013,45,0,0,0,0,0,0,1,0,8,2,0,550,400,1
117,12010,20,0,1,0,0,0,0,0,0,6,0,20,200,180,1
118,12011,30,0,1,0,0,0,0,0,0,6,0,30,300,150,1
115,13020,45,0,0,0,0,0,0,1,0,7,2,0,400,300,1
110,13014,55,0,0,0,0,0,0,1,0,6,0,0,350,250,1
108,12005,20,0,1,0,0,0,0,0,0,5,0,20,280,220,1
102,12002,60,0,1,0,0,0,0,0,0,6,1,0,200,350,1
104,12003,10,0,1,0,0,0,0,0,0,4,0,10,450,750,1
101,12001,45,0,1,0,0,0,0,0,0,7,2,20,350,300,1
